id,innings,match_no,over,Ball No,batter,bowler,extra_type,batsman_run,extras_run,total_run,non_boundary,iswicket_delivery,player_out,dismisal_kind,fielders_involved,batting_team,,,outcome,over,Ball No,comment,batter,bowler,score,ballnumber,inningno,over
335983,1,1,6,1,Ben S,Hardik Pandya,NA,0,0,0,1,0,,NA,,,,,0,6,1,"Hardik Pandya to Ben Stokes, no run,",Ben S,Hardik Pandya,0,38,1,6.1
335983,1,1,6,2,Ben S,Hardik Pandya,NA,1,0,1,1,0,,NA,,,,,1,6,2,"Hardik Pandya to Ben Stokes, 1 run,",Ben S,Hardik Pandya,1,39,1,6.2
335983,1,1,6,3,Ruturaj Gaikwad,Hardik Pandya,NA,6,0,6,0,0,,NA,,,,,6,6,3,"Hardik Pandya to Ruturaj Gaikwad, Six,",Ruturaj Gaikwad,Hardik Pandya,6,40,1,6.3
335983,1,1,6,4,Ruturaj Gaikwad,Hardik Pandya,NA,6,0,6,0,0,,NA,,,,,6,6,4,"Hardik Pandya to Ruturaj Gaikwad, Six,",Ruturaj Gaikwad,Hardik Pandya,6,41,1,6.4
335983,1,1,6,5,Ruturaj Gaikwad,Hardik Pandya,NA,0,0,0,1,0,,NA,,,,,0,6,5,"Hardik Pandya to Ruturaj Gaikwad, no run,",Ruturaj Gaikwad,Hardik Pandya,0,42,1,6.5
335983,1,1,6,6,Ruturaj Gaikwad,Hardik Pandya,NA,0,0,0,1,0,,NA,,,,,0,6,6,"Hardik Pandya to Ruturaj Gaikwad, no run,",Ruturaj Gaikwad,Hardik Pandya,0,43,1,6.6
335983,1,1,7,1,Ben S,Rashid Khan,NA,1,0,1,1,0,,NA,,,,,1,7,1,"Rashid Khan to Ben Stokes, 1 run,",Ben S,Rashid Khan,1,44,1,7.1
335983,1,1,7,2,Ruturaj Gaikwad,Rashid Khan,NA,1,0,1,1,0,,NA,,,,,1,7,2,"Rashid Khan to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Rashid Khan,1,45,1,7.2
335983,1,1,7,3,Ben S,Rashid Khan,NA,4,0,4,0,0,,NA,,,,,4,7,3,"Rashid Khan to Ben Stokes, Four,",Ben S,Rashid Khan,4,46,1,7.3
335983,1,1,7,4,Ben S,Rashid Khan,NA,0,0,0,1,1,,caught,,,,,w,7,4,"Rashid Khan to Ben Stokes, no run,                           Wicket - c Wriddhiman Saha b Rashid Khan batsmen out 7(6)",Ben S,Rashid Khan,0,47,1,7.4
